sentiment,article
1,"Unit prices for straddle carriers vary between EUR700 ,000 and EUR900 ,000 , the company added ."
1,"Depending on the market situation , such projects are sold after 1 to 3 years after completion ."
2,"According to M-real 's CEO , Mikko Helander , this transaction will enable the company to proceed swiftly with its restructuring program ."
1,"Approximately SEK 166 million in repayments has been demanded for overcharging in the Stockholm area , with the remaining SEK 87 million taken from the Western coast , the inspectorate said ."
2,Nordea sees a return to positive growth for the Baltic countries in 2011 .
2,"Outotec said it won new orders worth 492.9 mln eur during the quarter , compared with 240.4 mln eur a year earlier ."
1,"The company is now withdrawing the second part , EUR 7.2 mn , of the investment commitment ."
1,"The center offers a comprehensive range of device design services spanning from electronics , mechanics and software design to a full range of testing laboratory services ."
1,"The most important export markets are Norway , Germany , Russia and France ."
2,The expansion aims to attract new customers both in Finland and abroad .
1,"City24 users can search for homes and properties in all areas where City24 is active , even outside their own country ."
1,"Cardona slowed her vehicle , turned around and returned to the intersection , where she called 911 ."
2,"Thanks to the multiplying effect of wagon performance , transport will be much more efficient , '' says development manager Juha Malkia from VR Cargo ."
1,Yvonne Jones is owner of Chameleon Interiors .
1,"The most interesting export markets will be Russia , the Baltic countries and Scandinavia ."
1,"In the automobile space , Maruti is the most searched brand in cars ."
2,"Sales climbed 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure ."
0,Chief executive officer Olli-Pekka Kallasvuo 's changes on Tuesday mark the third time in nine months the company has reshuffled executives and operations as Nokia loses ground to Apple 's iPhone and RIM 's BlackBerry .
1,The desk will reach its full planned strength of ten persons in autumn 2007 .
2,The costs of the new ropax vessels are 30 % lower than those of the present ones .
2,The company moved to an operating profit of EUR10 .9 m versus an operating loss of EUR15 .3 m. It also turned to EPS of EUR0 .08 versus loss per share of EUR0 .04 .
1,Metso Paper 's delivery will comprise an Advantage DCT 200 tissue machine including quality control and distributed control systems ( QCS-DCS ) .
1,"Cargotec 's brands , Hiab , Kalmar and MacGREGOR , are global market leaders in their fields and their solutions are used on land and at sea - wherever cargo is on the move ."
2,Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier .
2,Finnish fibers and plastic products maker Suominen Corporation said its net loss from continuing operations narrowed to 1.8 mln euro ( $ 2.3 mln ) in 2006 from 3.7 mln euro ( $ 4.8 mln ) in 2005 .
0,Hobby Hall 's sales decrease 26 pct due to implementing a new information system that involved changing in the principal of posting sales .
1,"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time ."
2,"HELSINKI ( Thomson Financial ) - M-real said it will exercise an option to buy a 50MW natural gas power plant and land in Kyroskoski , Finland , for around 13 mln eur from Kyro Oyj ."
0,"According to Laavainen , Raisio 's food marketing used to be reactive and inconsistent ."
2,"At the same time , sales development in Russia was boosted by the opening of Stockmann Nevsky Centre in St Petersburg ."
1,Pharmaceuticals - Poland This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Poland .
2,credit 20 November 2009 - Finnish glass technology company Glaston Oyj Abp ( HEL : GLA1V ) said today it concluded a EUR74m revolving credit facility agreement with its core banks .
0,"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales ."
1,The bank 's leasing arm Nordea Liising ended the year with a profit of 4.4 million euros .
2,The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .
2,Finnish food company Raisio Oyj HEL : RAIVV said today it will buy British snacks and confectionery company Big Bear Group plc for an enterprise value of EUR 95.3 million USD 129.9 m .
2,"The company said that it will supply the WCDMA 3G-HSPA radio network , including the modular , high capacity Nokia Flexi WCDMA base station in East Java , Bali , Sumatra and Batam ."
0,Also construction expenses have gone up in Russia .
1,U.S. District Judge Douglas P. Woodlock yesterday extended a Jan. 17 temporary restraining order until March 7 .
2,"To ensure low operational cost for radio networks , the BTS modules can be configured , software upgraded and diagnosed remotely ."
1,"The Tekla Structures product box , if needed , is now made from recycled material ."
1,"The platen edges in contact with the band are provided with a seal having a protrusion directed towards the middle area of the platen , and means are provided to exert and maintain a pressure in the volume defined by the platen , the band and the seal . ''"
0,The company slipped to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million .
2,"Nokia will continue to invest in future development of Qt for the benefit of all users , both Commercial and LGPL ."
2,Talvivaara also maintains its assumption of turning cash flow positive before the year end .
1,"The corresponding share capital increase , EUR 1,012,945.50 was entered in the Trade Register today ."
1,The energy sector accounted for approximately 33 % and the steel industry for about 57 % of the transportation volume .
1,The products have a low salt and fat content .
2,Finnish Bank of +_land 's consolidated net operating profit increased from EUR 4.8 mn in the first quarter of 2005 to EUR 6.4 mn in the first quarter of 2006 .
2,Total operating revenue grew by 27.6 % year-on-year to EUR61m .
1,"Economic development in China is no longer taking place only on the East coast and in the Shanghai area , Vauramo says ."
1,Liora 's got a brand-new bag .
2,"Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target ."
1,Sanoma Corporation wants a new and better frequency for the Helsinki metropolitan area .
2,"Net interest income totaled EUR 15.9 mn , compared to EUR 15.6 mn a year earlier ."
1,Net sales are expected to remain on the same level as in 2007 .
1,Odell has not contacted the State of Finland in this issue .
1,Finnish beverage company Olvi is introducing a new long drink Olvi Kultalonkero ( `` golden long drink '' ) in the market in Finland in the spring of 2009 .
1,"The Samsung Mobile Applications Store was launched in January 2009 by Samsung Mobile Innovator , a program which enables mobile software developers to create applications for use across Samsung mobile devices ."
1,"The company has decided to stop the operations of Ruukki Construction Division in Latvia and Lithuania , and concentrate the production and logistics in Parnu , Estonia in 2009 ."
1,The lay-offs will start gradually and will last from one to six weeks .
2,"Finnish financial software developer Basware Oyj said today it will provide its invoice automation ( IA ) solution to an unnamed major retail company in the USA in a deal , worth more than EUR300 ,000 ."
1,The company expects meat purchases to remain at about 8mn kilos in 2011 .
1,An international conference call and audio webcast concerning the financial result January-March 2010 will begin at 14.00 EET .
2,21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .
2,"Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's market share from 27 % to a third in a couple of years ."
1,The European Central Bank ECB is anticipated to raise its benchmark interest rate in the second half of 2011 at the earliest .
2,"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth ."
1,"POYRY PLC Additional information by : Heikki Malinen , President and CEO , Poyry PLC tel. +358 10 33 21307 Poyry is a global expert in consulting and engineering ."
2,"Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn ."
2,15 December 2010 - Finnish-German telecoms equipment maker Nokia Siemens Networks said today it won a contract to upgrade the radio network of home-based telecommunications company Elisa Oyj HEL : ELI1V .
1,The company expects net sales of 65 mln euro ( $ 85.1 mln ) for 2006 .
1,The terms and conditions of the year 2003 stock option scheme were published in a stock exchange release on 31 March 2003 .
0,"The payment of 2.779 million litas in interest on a long-term loan provided by Ragutis ' majority shareholder , Estonia 's A. Le Coq , also added to the losses ."
2,Finnish KCI Konecranes has raised its net sales growth estimate for 2006 from over 25 % to over 35 % .
1,You are warmly welcome !
2,The company intends to raise production capacity in 2006 .
2,"The company booked April-June new orders worth 949 mln eur , compared with 786 mln eur in the same period a year ago ."
2,"Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier ."
1,Around 250 of these reductions will be implemented through pension arrangements .
1,And that 's exactly what happened on a recent weekday when an East Haven baker was brought in to remind residents about the Easter tradition of making wheat and rice pies .
2,"Continuing operations turned an operating loss of EUR 0.1 mn , a slight improvement from a loss of EUR 0.2 mn a year earlier ."
1,"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % ."
1,"Auburn 's sales in 2007 were CAD 41 million ( approximately EUR 27 million ) , and the company employs some 150 people ."
1,"Okmetic closed its plant in Espoo in early 2004 , and all production lines from the site were moved to Okmetic 's plants in Vantaa , Finland and Texas , USA ."
1,"Finnish printed circuit boards ( PCBs ) maker Aspocomp Group Oyj said on December 4 , 2006 it named Henry Gilchrist senior vice president of the group 's Asian operations , as of January 8 , 2007 ."
0,Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .
2,About Elcoteq Elcoteq SE is a leading electronics manufacturing services ( EMS ) company in the communications technology field .
0,"However , the net sales declined to EUR 803.6 million from EUR 1.2 billion ."
2,First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .
1,"The relocation of Ragot has already started and will be completed in the next few weeks , with the Waterqueen and Tortue moves planned for mid-2008 and VMC Europe during the third quarter of 2008 ."
2,"`` I 'm pleased to receive the Nomination Committee 's request and confidence , '' says Jon Risfelt ."
1,Philips was not available to comment on the report .
1,"The decision of the French Court relates to the claims raised by twenty-one former Aspocomp S.A.S employees , the company said ."
1,The company does not disclose the sum it applied for .
1,The business to be divested generates consolidated net sales of EUR 60 million annually and currently has some 640 employees .
1,The agreement must be approved by the Russian competition authorities before it enters into force .
2,Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+¦rbindelsen bridge in Gothenburg in Sweden .
1,The compnay also said that it would lower the price of development projects by about one third compared with last November .
1,The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .
1,Its total annual revenue comes up to about 160 mln zloty ( $ 56.9 mln-42 .3 mln euro ) .
1,The negotiations will concern the plant 's department producing winded roving that employs 10 people .
1,The company specialises in temporary electrification and heating at construction sites .
2,Growth is expected to continue in 2008 .
0,"Operating result for the 12-month period decreased from the profit of EUR0 .4 m while turnover decreased from EUR5 .6 m , as compared to 2004 ."
2,"Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 ."
1,"Den Bosch-based TomTom is Europe 's largest maker of automotive navigation devices , while Cayman Islands-based Garmin is larger in the U.S. and overall ."
2,"The company is in the process of building a new fleet and has placed orders for 10 P-Max tankers of 65,200 dwt ."
1,"The contract covers the supply of temporary heating equipment for LKAB 's new pellet plant in Kiruna , in northern Sweden ."
1,Affecto has helped SKAT to set up the platform and has previously delivered several Business Intelligence projects for SKAT .
1,This solution is an extension to the existing online mediation solution delivered earlier by Comptel and IBM .
2,"Handelsbanken ranked before Local Cooperative Banks and Aktia in customer loyalty this time too , however ."
1,"s Outokumpu Technology business will begin trading on the Nordic Exchange in Helsinki starting Oct. 10 , becoming the sixth company to list on that exchange this year , the company said Friday ."
1,Its other well-known brands include fitness equipment maker Precor and U.S. - based ball sports equipment maker Wilson .
1,"With the Basware Connectivity services , companies gain visibility to an audit trail that can be traced from order to goods delivery and invoice ."
1,The sale price was not disclosed .
1,Also Chile is an important market area for forest machine companies .
1,"Finnish Suominen Corporation that makes wipes , nonwovens , and flexible packaging , has a plant near Warsaw , in Poland , that makes flexible packaging ."
1,"The total scope of the project is about 38,000 square metres and it is valued at a total of around EUR75m ."
0,"Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses ."
2,The loss for the third quarter of 2007 was EUR 0.3 mn smaller than the loss of the second quarter of 2007 .
1,"In the video above Marimekko 's design manager , Noora Niiininoski , explains that the brands are a natural fit for each other because they both have a timeless style ."
1,4 January 2011 - Finnish media company Alma Media Corporation HEL : ALN1V said today its online recruitment service Monster Oy will partner with local newspaper publisher Suomen Lehtiyhtyma in listing job advertisements .
1,"In beers , Olvi retained its market position ."
1,Nordstjernan has used its option to buy another 22.4 % stake of Salcomp 's shares and votes .
2,Operating profit rose to EUR 27.8 mn from EUR 17.5 mn in 2008 .
1,Shareholders have a right to put on the agenda of the AGM items that are within the competence of the general meeting .
1,The Efore plant at Saarijarvi in central Finland is one of the largest employers in the region .
1,"The e-commerce site and flagship will be managed by Marimekko North America Retail LLC , a subsidiary established in the U.S. last year ."
1,Tekla Structures 16 is ` all about you and your team ' and compatible with the Windows 7 operating system .
2,"Citigroup , Inc ( NYSE : C ) has announced that its Global Transaction Services ( GTS ) business has been awarded a new mandate by Finland-based Pohjola Bank Group ."
2,"Earnings per share ( EPS ) for the first quarter 2007 amounted to EUR0 .07 , up from EUR0 .04 ."
1,"The new system , which will include 60 MC3090 PDAs from Motorola , to be used by 60 Poundstretcher operatives across 3 shifts , will integrate in real-time with the company s existing Warehouse Management System , Aldata G.O.L.D Stock , which went live in May 2008 ."
1,"While I cant understand what theyre saying , its impressive to watch him hit that ball at those speeds ."
1,The parties have therefore agreed to leave Avena out of the deal .
2,"The fourth quarter saw Rapala swing back to a pretax profit of 1.5 mln eur from a year earlier loss of 1.2 mln on the back of a 30 pct uplift in sales to 44.8 mln eur , and a stronger performance in North America ."
1,Operating profit for the quarter April-June 2006 amounted to EUR42 .9 m on net sales of EUR156 .3 m.
1,Pharmaceuticals - Italy This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Italy .
0,"`` We cut our frequency to New York last year , which explains the fall , '' he said ."
1,Each option right entitles the holder to subscribe for one new share at a subscription price of EUR0 .045 during the subscription period which ends on 31 December 2013 .
1,"Once your plants are in the ground they will continue to grow , but the success of any garden lies in how well it 's maintained ."
2,"`` Overall , we 're pleased with the startup curve ... and we 're pleased with the quality of the paper , '' Stora spokeswoman Patricia Dietz said Tuesday ."
2,"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 ."
1,"Entire paper mills may be set up , especially in the new EU member states ."
2,"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates ."
0,"The personnel reduction will be carried out in Anjalankoski , Hollola , Jyvaskyla , Jarvenpaa , Karhula , Turku and Valkeakoski units ."
1,Underground parking facilities will also be built on the basement floor .
1,Poyry is a global expert in consulting and engineering .
1,"Aspocomp Group , headquartered in Helsinki , Finland , develops interconnection solutions for the electronics industry ."
1,"S Group 's loyal customer magazine Yhteishyv+Æ came second with 1,629,000 readers and Sanoma Corporation 's daily newspaper Helsingin Sanomat was third with 1,097,000 readers ."
2,"MADISON , Wis. , Feb. 6 - PRNewswire - -- Fiskars announces that the United States Patent and Trademark Office has granted a trademark registration for the color orange on its iconic scissor handles ."
2,The objective of the planned measures is to achieve significant savings in the next few years .
1,Danske Bank is Denmark 's largest bank with 3.5 million customers .
1,"Jensen , Njastein and Mike Critch , the head of Dovre North America business unit , will report to Toivola ."
1,The net sales of Healthcare Trade business in 2009 were EUR 145.1 million EUR 155.2 million and operating profit EUR 8.9 million EUR 7.9 million .
0,"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates ."
2,"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres ."
1,The business development initiatives in North America are headed by Lynn Shanahan .
0,"Finnish management software solutions provider Ixonos Oyj net profit decreased to 369,000 euro ( $ 575,000 ) for the first quarter of 2008 from 669,000 euro ( $ 1.0 mln ) for the same period of 2007 ."
2,Diluted earnings per share ( EPS ) rose to EUR 0.29 from EUR 0.05 .
1,"Finnish construction machinery and equipment rental group Cramo Oyj said on March 21 , 2007 its Swedish sector subsidiary Cramo AB will sell its Dutch subsidiary Cramo Nederland B.V. ( CNL ) to Dutch rental and scaffolding company Jaston Groep B.V. for an undisclosed sum ."
1,"An  of the invention , released by the Patent Office , said : `` A non-coherent search matrix is formed of said correlation function matrix ."
2,"In contrast , the company 's net loss for the third quarter of 2009 contracted to EUR 76 million from EUR 256 million for the corresponding period a year ago ."
2,"Finnish telecoms software developer Tecnomen Oyj said on December 5 , 2006 it won a $ 3.3 mln ( 2.5 mln euro ) order to supply an expansion of the charging and messaging systems for the mobile and fixed networks of Brasil Telecom ."
2,"As a result , the Russia 's import restrictions on Finnish dairy companies will be canceled on 6 August 2010 ."
1,"Compared with the FTSE 100 index , which fell 35.2 points ( or 0.6 % ) on the day , this was a relative price change of 0.6 % ."
1,"Seppala transferred the sale to a greater extent than last year to February , and this is reflected on the January sales figures ."
2,"Exports accounted for 65.4 % of net sales , representing an all time record for the company ."
2,Nokian Capacitors ' equipment will be used to raise the capacity and reliability of the Indian grid .
2,"26 January 2011 - Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said yesterday its net loss narrowed to EUR500 ,000 in the last quarter of 2010 from EUR5 .3 m for the same period a year earlier ."
1,The owners who have participated in the business operations of the company will continue in Poyry 's employment after the transaction .
1,"The airline was targeting travel agents , tour operators and travel management companies to raise awareness first before targeting consumers , he added ."
1,Both sources said Nokia would unveil its new phone code-named `` Tube '' on Oct. 2 at an analyst and media event in London .
1,"The company also appointed Leif Rosen head of the Special Plate unit which includes the quarto plate units in Degerfors , Sweden , and New Castle , USA , the unit in Willich , Germany , as well as Pressplate and Prefab in Avesta and Plate Service Centre Nordic in Degerfors ."
1,The solid fuel is heated before sludge is mixed therein . ''
1,The company does not at present hold any of its own shares .
0,"Metso Foundries Jyvaskyla , Inc. will begin personnel negotiations on temporary lay-offs and personnel reductions in Jyvaskyla , Finland ."
2,The estimated synergy benefits are at least EUR7m annually .
2,in Q1 2010 18 May 2010 - Finnish electrical components maker Salcomp Oy ( HEL : SAL1V ) said today it turned to a net profit of EUR1 .6 m in the first quarter of 2010 versus a loss of EUR2m in the corresponding period last year .
2,"3 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal ."
1,Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) announced today the launch of Tikkurila ProHouse method for protection of wooden surfaces via treatment with Ultra Pro waterborne products .
1,`` We know there are some of our own people out there . ''
0,"Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 ."
1,Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .
0,"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 ."
1,Halonen 's office acknowledged receiving the letter but declined comment .
1,A 2001 agreement expired earlier this month .
2,"The company 's operating income ( EBIT ) totalled EUR 0.0 mn , up from EUR -0.3 mn year-on-year ."
1,The company distributes Hiab 's products as well as other products .
2,"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 ."
1,"The fish content of the nuggets is 85 % , and the fish comes from Canada and Finland ."
1,"The payment date is March 25 , 2010 ."
1,The transaction is expected to be finalized by Dec 2009 .
2,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 ."
2,"`` We are very pleased to be working with Fujitsu and NTT DoCoMo to advance the progress of LTE , '' said Juergen Walter , Head of Converged Core , Nokia Siemens Networks ."
2,"`` Several growth initiatives in the chosen geographic areas are already ongoing , '' it continued , noting Lindex opened its first store in the Czech Republic this autumn in Brno ."
2,Satama 's net sales would be higher than the year before .
1,"The expanded agreement covers the sale , marketing and distribution of Benefon 's navigation and locator devices in China ."
1,Sanoma will continue to focus on investing in digital media and on strengthening its market positions .
1,"Apart from Nordea , also Ergo is competing for the position among the top three pension funds providers in Estonia ."
1,The company has some 410 employees and an annual turnover of EUR65 .4 m. Vaahto Group is listed on the Nordic Exchange in Helsinki .
1,"Following the move , Stora Enso holding in NewPage will remain unchanged ."
0,"`` We can say that the number of deals has become normalized by the moment , and therefore we have decided to devalue our apartments now on sale , '' he added ."
1,"The port facilities ' throughput is 250,000 TEUs and 7.5 mln tons of general cargo ."
2,"Revenue from July to September grew 21 percent to EURO 2.3 billion , the Finnish company said Thursday ."
1,"Amer , which bought Salomon from adidas in October , said the job cuts are aimed at boosting competitiveness ."
1,"Linde acts responsibly towards its shareholders , business partners , employees , society and the environment - in every one of its business areas , regions and locations across the globe ."
1,The service developed by Digia facilitates the work and resourcing of health care personnel during vaccination campaigns while providing them with monitoring and management tools .
2,Our superior customer centricity and expertise in digital services set us apart from our competitors .
2,"In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 ."
2,"Finnish steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today its net loss contracted to EUR 49 million ( USD 68.2 m ) for the first nine months of 2010 from EUR 229 million for the same period a year ago ."
1,"At the moment , there are approximately 20 Vianor sales offices in Russia ."
2,Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .
1,"Most recently , he founded Virent Energy Systems , Inc. , an 80 person catalytic biofuels company , where , as president and CEO , he led the company through multiple financings , defined the company 's market strategy , and secured the company 's first customers ."
0,"The staff reduction will start immediately , Glaston added ."
1,"The bond , with a maturity of five years , is part of the bank 's domestic bond program ."
0,Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 .
1,"The business idea of Budget Sport is to offer customers a wide range of high-quality sports equipment and clothing at low prices , the company said ."
1,No more waste-burning facilities should be built .
1,"Finnish investor Scanfil Oyj ( HEL : SCF1V ) said last Friday it has bought 57 million shares , or 32.96 % , in Norwegian contract electronics manufacturer Kitron ASA ( OSL : KIT ) for NOK 143.9 million ( USD 24.4 m-EUR 18.1 m ) ."
2,"The subscriptions increase Cargotec 's share capital by 36,780 euros ."
2,Finnish handling systems company Cargotec Oyj ( HEL : CGCBV ) said today that it won a EUR 13 million ( USD 16.6 m ) contract to deliver MacGregor hatch covers for ships ordered by Norwegian shipowner Grieg Shipping .
1,"The equipment Ixonos acquires with this deal includes mechanical engineering hardware ; an RF and antenna measurement laboratory ; facilities for the measurement of audio , cameras and displays ; as well as devices and robot units for the testing of mobile devices ."
0,"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively ."
1,Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January .
2,"The services also give the supplier opportunity to key-in invoices , receive orders electronically , to send order confirmations and to upload and create electronic catalogues ."
2,"Jobs will not be transferred from Finland , however ."
2,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today ."
1,"ALEXANDRIA , Va. , Dec. 22 -- United States Patent no. 7,854,608 , issued on Dec. 21 , was assigned to Outotec Oyj ( Espoo , Finland ) ."
1,"HKScan is one of the leading food companies in northern Europe with homemarkets in Finland , Sweden , the Baltic countries and Poland ."
1,Salcomp Manufacturing Oy will pay EUR 35 million in cash to Salcomp in connection with the implementation of the sale and transfer of the Business .
2,"For Teleste , the acquisition marks an entry into services business in a market where it has long been an established and significant supplier of products ."
2,With this appointment Kaupthing Bank aims to further co-ordinate Capital Markets activities within the Group and to improve the overall service to clients .
2,"` Ruukki has experience of logistics construction , competence in project management and also has the best references in terms of steel frame production and installation , ' says Onodi Stefan , General Manager of Arxikon Construction Company SRL , which is Ruukki 's customer ."
1,"HELSINKI AFX - Salcomp , the mobile phone charger manufacturer , said it has appointed Markku Hangasjarvi as its new CEO , following the resignation of Mats Eriksson ."
1,The following information was released by Comptel : Tomorrow the Chairman of the Federal Communications Commission is scheduled to deliver the National Broadband Plan to Congress .
1,Finnlines has six ships under construction in China with deliveries scheduled between the first quarter of 2011 and the final quarter of 2012 .
1,"On 25 August 2009 , Sampo 's stake in Nordea was 19.45 % ."
1,"At 10.58 am , Outokumpu declined 2.74 pct to 24.87 eur , while the OMX Helsinki 25 was 0.55 pct higher at 2,825.14 and the OMX Helsinki added 0.64 pct to 9,386.89 ."
2,The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .
0,"However , the growth margin slowed down due to the financial crisis ."
1,"Takoma will carry out the transaction by acquiring the entire share capital of Moventas Parkano Oy , which runs the factory in Parkano , southern Finland ."
1,"LLC , a voice and data management solution provider to wireless companies with operations worldwide , will be transferring its U.S. deployment operations to the Finnish mobile giant , which includes civil works and site acquisition services ."
2,"Finnish Sampo Bank , of Danish Danske Bank group , reports profit before taxes of EUR 152.3 mn in 2010 , up from EUR 32.7 mn in 2009 ."
2,Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .
1,Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report .
1,In 2007 Etteplan reported a turnover of EUR125 .2 m.
1,"The second company acquired is Sweden 's Reftele Maskinservice AB , whose business is mainly field services and spare parts manufacturing , with 10 employees and 1.2 mln eur sales a year ."
2,"Dubai Nokia has announced the launch of `` Comes with Music '' , its ground-breaking service which introduces a new way for people to enjoy music ."
1,The retail chain launched in 2007 does not correspond to profit and sales forecasts of the company .
1,It is expected to be online by 2011 .
1,"Weber convinced his friend Ray Ostrom , who owned a Lake Street sporting goods store , to sell the lures ."
1,"The port operator , however , favors retaining the port fees in 2010 , citing the owner , the governemtn of Estonia , commiting the port to pay EEK 400mn ( EUR 25.56 mn USD 36.44 mn ) in dividends to the state in 2009 and another EEK 300mn in 2010 ."
1,The contracts comprise turnkey orders for RoRo systems for two RoRo-cruise vessels under construction for Viking Line and Tallink .
1,The order was valued at USD12 .2 m.
1,Name of Company in which holdings have been acquired : Citycon Oyj 2 .
2,One attractive factor about the tablets for media companies is that they provide a new way of making money .
2,"We also strengthen our existing partnership with Cybercom '' , says Teleste CTO Esko Myllyla ."
2,Panostaja Oyj s ( Panostaja ) Board of Directors decided on 16 December 2010 on a new long-term incentive and commitment plan for members of the management team .
1,Vaisala 's expertise in lightning data and information systems is based on extensive experience and investment in R&D .
1,"LONDON ICIS -- Tikkurila has completed the sale of its powder coatings business to Finnish industrial coatings firm Teknos Group , the Finland-based decorative paints company said on Wednesday ."
1,"Tulikivi manufactures heat-retaining , soapstone and ceramic fireplaces , as well as natural stone products and utility ceramics ."
2,Incap and Lankapaja aim to enter into actual agreement to transfer the sheet-metal production to the buyer in February in order to complete the transfer on 1 March 2011 .
1,"Swedish telco TeliaSonera is teaming up with Friends , a Swedish organization against bullying , to fight bullying of children and teenagers via electronic channels ."
2,"Consumer products manufacturer Fiskars Corp. will open a distribution and warehouse center in Southaven , creating 100 jobs ."
2,Componenta 's objective with this agreement is to increase business on its existing production lines .
2,Sports equipment sales also progressed well owing to the prolonged winter season .
1,"`` Tweeple should check who 's following them , and be cautious when clicking on URLs and tinyurls . ''"
1,"The scope of the project is to find the most cost-efficient method for phosphorous removal and to deliver the storing and dosing equipment , which can be used in continuous operation at the plants ."
1,"Tikkurila , a division of Kemira group , controls about 23 % of the Russian market in its field and owns St. Petersburg paint producer TEX. ."
1,Stock Exchange Release 10/3/2011 12:00 Sanoma has published its Annual Report and Financial Statements for 2010 and its first Corporate Responsibility Report .
0,"Most of the permanent layoffs will be in the plywood and sawn timber sectors of the Finnish company 's operations at several domestic mills , where earlier this year it temporarily laid off some 1,200 workers to save costs ."
1,"It is necessary to strengthen the company 's operations , however ."
1,OP-Pohjola Group 's capital adequacy ratio under the Act on Credit Institutions stood at 12.1 % and Tier 1 ratio at 12.1 % .
1,Tekla Group 's net sales for 2005 were approximately 38 million euros .
1,No financial details were disclosed .
1,"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products operating in Finland ."
1,"As an alternative to the share exchange , Panostaja offers a full cash consideration at the value of 1.27 euro $ 1.7 per share ."
